CSO_KC_ID,ADM2_PCODE,District,KC_DIST_TOTAL,KC_DIST_MALE,KC_DIST_FEMALE,KC_DIST_HH
1,AF0101,District No  1,101364,52999,48365,17235
2,AF0102,District No  2,123446,63879,59567,20251
3,AF0103,District No  3,149514,77774,71740,24667
4,AF0104,District No  4,318094,164166,153928,50090
5,AF0105,District No  5,293642,153071,140571,48258
6,AF0106,District No  6,325096,168259,156837,55799
7,AF0107,District No  7,388866,202515,186351,64739
8,AF0108,District No  8,323265,167936,155329,49443
9,AF0109,District No  9,279638,144022,135616,44165
10,AF0110,District No  10,342979,177093,165886,57199
11,AF0111,District No  11,268436,137021,131415,43087
12,AF0112,District No  12,49442,25960,23482,7648
13,AF0113,District No  13,226965,117093,109872,38025
14,AF0114,District No  14,0,0,0,0
15,AF0115,District No  15,367215,189159,178056,58707
