province_id,province,total_police,PAI_d,not_PAI-d,perc_removed,perc_not_removed
AF01,Kabul,32188,32127,61,0,100
AF02,Kapisa,1323,1321,2,0,100
AF03,Parwan,1712,1709,3,0,100
AF04,Wardak,1776,1734,42,2,98
AF05,Logar,1076,1074,2,0,100
AF06,Nangarhar,3635,3609,26,1,99
AF07,Laghman,1136,1123,13,1,99
AF08,Panjsher,1170,1170,0,0,100
AF09,Baghlan,2550,2530,20,1,99
AF10,Bamyan,1169,1139,30,3,97
AF11,Ghazni,2280,2205,75,3,97
AF12,Paktika,2713,2156,557,21,79
AF13,Paktya,2438,2404,34,1,99
AF14,Khost,2640,2622,18,1,99
AF15,Kunar,1872,1872,0,0,100
AF16,Nooristan,2515,1969,546,22,78
AF17,Badakhshan,2753,2544,209,8,92
AF18,Takhar,1868,1852,16,1,99
AF19,Kunduz,2935,2900,35,1,99
AF20,Samangan,1247,1190,57,5,95
AF21,Balkh,3117,3106,11,0,100
AF22,Sar-e-pul,1351,1345,6,0,100
AF23,Ghor,1454,1352,102,7,93
AF24,Daykundi,1350,1328,22,2,98
AF25,Urozgan,2575,2242,333,13,87
AF26,Zabul,2151,1915,236,11,89
AF27,Kandahar,9458,8542,916,10,90
AF28,Jawzjan,1636,1554,82,5,95
AF29,Faryab,2490,2314,176,7,93
AF30,Helmand,6213,5446,767,12,88
AF31,Badghis,1818,1763,55,3,97
AF32,Herat,4092,4049,43,1,99
AF33,Farah,2201,1937,264,12,88
AF34,Nimroz,1386,1344,42,3,97
