ADM1_PCODE,details,officer,nco,patrolwoman,total
AF01,Zone 101 Asmayee Kabul Command,89,34,250,373
AF02,Kapisa PPHQ,13,11,24,48
AF03,Parwan PPHQ,14,13,34,61
AF04,Wardak PPHQ,13,9,24,46
AF05,Logar PPHQ,13,10,22,45
AF06,Nangarhar PPHQ,20,21,48,89
AF07,Laghman PPHQ,12,10,18,40
AF08,Panjsher PPHQ,15,11,20,46
AF09,Baghlan PPHQ,12,12,50,74
AF10,Bamyan PPHQ,19,19,24,62
AF11,Ghazni PPHQ,12,10,48,70
AF12,Paktika PPHQ,10,12,32,54
AF13,Paktia PPHQ,15,18,37,70
AF14,Khost PPHQ,11,11,38,60
AF15,Kunar PPHQ,13,10,19,42
AF16,Nuristan PPHQ,13,10,15,38
AF17,Badakhshan PPHQ,11,12,60,83
AF18,Takhar PPHQ,14,13,40,67
AF19,Kunduz PPHQ,14,13,34,61
AF20,Samangan PPHQ,14,11,24,49
AF21,Balkh PPHQ,31,29,61,121
AF22,Sar-e-Pul PPHQ,17,14,20,51
AF23,Ghor PPHQ,16,8,29,53
AF24,Daikundi PPHQ,12,12,19,43
AF25,Uruzgan PPHQ,11,12,34,57
AF26,Zabul PPHQ,11,11,32,54
AF27,Kandahar PPHQ,30,31,99,160
AF28,Jawan PPHQ,10,11,26,47
AF29,Faryab PPHQ,16,14,49,79
AF30,Helmand PPHQ,26,28,83,137
AF31,Badghis PPHQ,14,11,26,51
AF32,Herat PPHQ,33,53,95,181
AF33,Farah PPHQ,15,18,38,71
AF34,Nimroz PPHQ,15,15,22,52
